編號,答案,類近題目
1801,"📌 參考答案
D. 小腸內碳水化合物的消化
D. Carbohydrate digestion in the small intestine
📌 詳細解釋
肺部內的氣體交換是被動擴散過程，氣體分子穿過細胞膜，並不涉及附在細胞膜上的酶。
Gas exchange in the lungs is a passive diffusion process where gas molecules cross the cell membrane without involving membrane-bound enzymes.
沿着木質導管的水分運輸是一種由蒸騰拉力促進的物理過程，不涉及酶。
Water transport along xylem vessels is a physical process driven by transpiration pull and does not involve enzymes.
卡爾文循環發生的位置是葉綠體的基質，而非細胞膜。
The Calvin cycle occurs in the stroma of chloroplasts, not on the cell membrane.
小腸上皮細胞的頂端表面（微絨毛）具有分解碳水化合物的酶，因此正確。
Carbohydrate-digesting enzymes are located on the apical surface (microvilli) of the epithelial cells in the small intestine, making this correct.
📌 考試提醒
酶是蛋白質性質的生物催化劑，而小腸內壁刷狀緣附有消化酶以完成消化過程。
Enzymes are proteinaceous biological catalysts, and the brush border of the small intestine lining has bound digestive enzymes to complete digestion.
常見錯誤：學生常誤以為肺部氣體交換涉及主動運輸或膜蛋白/酶的協助。
Common trap：Students often mistakenly think that gas exchange in the lungs involves active transport or is assisted by membrane proteins/enzymes.",
1802,"📌 參考答案
C. 釋出的氣體使有餘燼的木條重燃。
C. The released gas relights a glowing splint.
📌 詳細解釋
觀察是指在實驗過程中能夠直接憑感官或儀器偵察到的現象。
Observation refers to phenomena that can be directly detected by senses or instruments during an experiment.
「這些組織含過氧化氫酶」和「動物組織較植物組織有更多過氧化氫酶」皆是基於結果所作的推論，並非直接觀察。
""These tissues contain catalase"" and ""animal tissues contain more catalase than plant tissues"" are inferences based on the results, not direct observations.
「反應釋出氧氣」同樣是推論，因為我們只能看見氣泡及木條重燃，不能直接「看見」氧氣。
""The reaction releases oxygen"" is also an inference, as we can only see bubbles and the relighting of the splint, but cannot directly ""see"" oxygen.
正如表格所示，「使有餘燼的木條重燃」是實驗中直接看到的現象，屬於觀察。
As shown in the table, ""relights a glowing splint"" is a phenomenon directly seen in the experiment, which belongs to an observation.
📌 考試提醒
在科學探究中，必須清楚區分「直接觀察結果」與「基於結果所得出的推論」。
In scientific inquiry, one must clearly distinguish between ""direct observation results"" and ""inferences drawn from the results"".
常見錯誤：學生經常將實驗結論（如：產生了氧氣）與表面觀察（如：產生氣泡）混淆。
Common trap：Students frequently confuse experimental conclusions (e.g., oxygen is produced) with superficial observations (e.g., bubbles are produced).",
1803,"📌 參考答案
B. 有氣泡釋出 / 過氧化氫酶是可再用的。
B. Bubbles released / Catalase is reusable.
📌 詳細解釋
當氣泡停止釋出時，表示原有的過氧化氫（受質）已被完全消耗。
When bubble release stops, it indicates that the original hydrogen peroxide (substrate) has been completely consumed.
因為酶是生物催化劑，在化學反應前後其結構及活性維持不變，並未被消耗。
Since enzymes are biological catalysts, their structure and activity remain unchanged before and after the chemical reaction, meaning they are not consumed.
加入更多過氧化氫溶液後，仍然活躍的過氧化氫酶會繼續催化分解，釋出氣泡。
Upon adding more hydrogen peroxide solution, the still-active catalase will continue to catalyze the breakdown, releasing bubbles.
實驗中沒有涉及高溫或極端酸鹼值，因此酶並未變性。
The experiment did not involve high temperatures or extreme pH values, so the enzyme did not denature.
📌 考試提醒
酶在化學反應中作為催化劑，可被重複使用而不會耗盡。
Enzymes act as catalysts in chemical reactions and are reusable without being used up.
常見錯誤：誤以為反應停止是因為酶被消耗殆盡，忽略了受質耗盡才是主因。
Common trap：Mistakenly thinking the reaction stops because the enzyme is used up, ignoring that substrate depletion is the main cause.",
1804,"📌 參考答案
A. 用水和組織重複實驗。
A. Repeat the experiment with water and tissue.
📌 詳細解釋
對照實驗的目的是證明某個特定變項（自變項）的作用，在此實驗中為過氧化氫的存在。
The purpose of a control experiment is to prove the effect of a specific variable (independent variable), which in this case is the presence of hydrogen peroxide.
除了將過氧化氫替換為等體積的水之外，其他所有控制變項（如組織種類及質量）均須保持不變。
All other controlled variables (such as the type and mass of tissue) must remain unchanged, except for replacing hydrogen peroxide with an equal volume of water.
用水和經煮沸的組織測試的是酶是否必須，而非測試過氧化氫是否為受質。
Testing with water and boiled tissue tests whether the enzyme is essential, not whether hydrogen peroxide is the substrate.
因此，用水和未經煮沸的組織重複實驗，能提供有效的對照。
Therefore, repeating the experiment with water and unboiled tissue provides a valid control.
📌 考試提醒
科學探究中，對照裝置必須只改變一個自變項，並保持其他所有變項相同。
In scientific investigations, a control set-up must change only one independent variable while keeping all other variables the same.
常見錯誤：設計對照實驗時，同時改變了兩個或以上的變項（如同時改變受質和將組織煮沸）。
Common trap：Changing two or more variables simultaneously when designing a control experiment (e.g., changing the substrate and boiling the tissue at the same time).",
1805,"📌 參考答案
D. 浮游植物
D. Phytoplankton
📌 詳細解釋
根據圖表，食物鏈中生產者的數目和生物量均少於初級消費者。
According to the diagrams, both the number and biomass of producers in the food chain are smaller than those of the primary consumers.
這形成了倒轉的數目錐體和生物量錐體。
This forms an inverted pyramid of numbers and pyramid of biomass.
要維持這種生態系統，生產者必須具有極高的繁殖率，以快速填補被初級消費者捕食的損失。
To sustain this ecosystem, producers must have a very high reproduction rate to quickly replenish the losses caused by primary consumers' predation.
相比起水稻、樹或草，單細胞的浮游植物繁殖時間最短，最符合此錐體的特徵。
Compared to rice, trees, or grass, single-celled phytoplankton has the shortest reproduction time, which best fits the characteristics of these pyramids.
📌 考試提醒
在特定的水生生態系統中，繁殖迅速的浮游植物可以形成底座較窄的生物量錐體。
In certain aquatic ecosystems, rapidly reproducing phytoplankton can form a pyramid of biomass with a narrower base.
常見錯誤：死記硬背所有生物量錐體必定是正立的，忽略了繁殖率極高的生產者可構成倒立錐體。
Common trap：Rote memorizing that all pyramids of biomass must be upright, ignoring that producers with extremely high reproductive rates can form inverted pyramids.",
1806,"📌 參考答案
D. 鯊魚是頂級捕食者,可調控其他消費者的種群大小。
D. Sharks are top predators and can regulate the population size of other consumers.
📌 詳細解釋
鯊魚是否為瀕危物種與其在維持海洋生態平衡中的角色無直接因果關係。
Whether sharks are an endangered species has no direct causal relationship with their role in maintaining marine ecological balance.
魚翅受歡迎是導致鯊魚數量下降的原因，並非其生態重要性的解釋。
The popularity of shark fins is a reason for the decline in shark populations, not an explanation of their ecological importance.
分解者的食物來源廣泛，鯊魚屍骸並不是維持生態平衡的決定性因素。
Decomposers have a wide range of food sources, and shark carcasses are not a decisive factor in maintaining ecological balance.
鯊魚作為頂級捕食者，能夠控制獵物的種群大小，防止其他消費者數量過盛而破壞食物網。
As top predators, sharks can control the population size of their prey, preventing the overpopulation of other consumers which could disrupt the food web.
📌 考試提醒
頂級捕食者透過捕食作用調控較低營養級生物的數量，對維持生態系統的平衡至關重要。
Top predators regulate the numbers of organisms at lower trophic levels through predation, which is crucial for maintaining the balance of the ecosystem.
常見錯誤：考生未能區分「保護物種的原因（如瀕危）」與「物種本身的生態價值」。
Common trap：Candidates fail to distinguish between the ""reason for conserving a species (e.g., endangered)"" and the ""ecological value of the species itself"".",
1807,"📌 參考答案
A. 遠視 / 凸透鏡
A. Long sight / Convex lens
📌 詳細解釋
圖中的光線聚焦在視網膜的後方，這是遠視的典型特徵。
The light rays in the diagram focus behind the retina, which is a typical feature of long sight.
遠視通常是由於眼球過短或晶體太薄（折射力不足）所致。
Long sight is usually caused by an eyeball that is too short or a lens that is too thin (insufficient refractive power).
為補救此缺陷，需配戴凸透鏡。
To correct this defect, a convex lens must be worn.
凸透鏡能在光線進入眼睛前將其滙聚，使焦點向前移並準確落在視網膜上。
A convex lens can converge the light rays before they enter the eye, shifting the focus forward accurately onto the retina.
📌 考試提醒
近視患者的焦點在視網膜前方，需用凹透鏡發散光線；遠視患者焦點在後方，需用凸透鏡滙聚光線。
For short-sighted patients, the focus is in front of the retina, requiring a concave lens to diverge light; for long-sighted patients, the focus is behind it, requiring a convex lens to converge light.
常見錯誤：混淆近視與遠視的焦點位置，以及對應矯正所需的透鏡類型。
Common trap：Confusing the focal positions of short sight and long sight, and the corresponding lens types required for correction.",
1808,"📌 參考答案
C. 只有(2)和(3)
C. (2) and (3) only
📌 詳細解釋
雖然氣體溶解需要薄水膜，但這層水膜在光學顯微鏡照片中無法被觀察到。
Although a thin water film is required for gas dissolution, this film cannot be observed in the light micrograph.
相片清楚顯示肺泡上皮細胞非常薄，因此氣體的擴散距離很短。
The photograph clearly shows that the alveolar epithelial cells are very thin, thus the diffusion distance for gases is very short.
相片亦顯示有密集的紅血細胞，代表具有大量的微血管供應，有助維持高濃度梯度。
The photograph also shows densely packed red blood cells, representing a massive supply of blood capillaries, which helps maintain a steep concentration gradient.
因此，根據顯微照片能得出的適應特徵只有擴散距離短及微血管供應豐富。
Therefore, the adaptive features that can be deduced from the micrograph are only the short diffusion distance and the rich capillary supply.
📌 考試提醒
回答「根據顯微照片」的題目時，答案必須是肉眼能在圖中直接觀察到的構造特徵。
When answering questions ""based on a micrograph"", the answer must be structural features that can be directly observed in the image by the naked eye.
常見錯誤：背誦了所有氣體交換的適應特徵，卻忽略了題目要求僅根據照片作答。
Common trap：Rote memorizing all adaptive features for gas exchange while ignoring the question's requirement to answer based strictly on the photograph.",
1809,"📌 參考答案
C. 古細菌與細菌在DNA序列方面有明顯的差別。
C. Archaea and bacteria have distinct differences in their DNA sequences.
📌 詳細解釋
現代生物分類學主要建基於生物的種系發生關係。
Modern biological taxonomy is primarily based on the phylogenetic relationships of organisms.
大小或結構上的相似度並不是將單細胞生物劃分為不同域的決定性準則。
Similarity in size or structure is not the decisive criterion for dividing unicellular organisms into different domains.
古細菌和細菌在遺傳物質（DNA序列）上有明顯且根本的差異，反映了它們演化路徑的分歧。
Archaea and bacteria have significant and fundamental differences in their genetic material (DNA sequences), reflecting the divergence of their evolutionary paths.
雖然細胞壁和細胞膜組成有別，但DNA序列差異才是將其分為兩個不同域的最核心原因。
Although there are differences in cell wall and cell membrane composition, the differences in DNA sequences remain the most core reason for classifying them into two distinct domains.
📌 考試提醒
現今生物的三域分類系統是根據核糖體 RNA (rRNA) 基因序列及 DNA 序列的差異建立的。
The modern three-domain system of biological classification is established based on differences in ribosomal RNA (rRNA) gene sequences and DNA sequences.
常見錯誤：誤以為細胞體積大小或生存環境（如極端環境）是劃分「域」的主要科學依據。
Common trap：Mistakenly believing that cell size or living environment (e.g., extreme environments) is the primary scientific basis for domain classification.",
1810,"📌 參考答案
A. 流感病毒不斷突變。
A. Influenza viruses constantly mutate.
📌 詳細解釋
流感病毒的遺傳物質經常發生突變，導致其表面抗原的結構改變。
The genetic material of influenza viruses frequently mutates, causing changes in the structure of their surface antigens.
人體原本針對舊病毒株產生的記憶細胞和抗體，無法識別突變後的新抗原。
The memory cells and antibodies originally produced by the human body against old virus strains cannot recognize the new mutated antigens.
這並非因為抗體或免疫力只能維持一年，而是因為先前的專一性免疫防禦已經失效。
This is not because antibodies or immunity can only last for a year, but because the previous specific immune defense has become ineffective.
因此，每年都需要根據最新的病毒株研發及接種流感疫苗。
Therefore, it is necessary to develop and administer influenza vaccines based on the latest virus strains every year.
📌 考試提醒
病毒的高突變率會改變其表面抗原，使宿主原有的專一性免疫反應無法發揮保護作用。
The high mutation rate of viruses changes their surface antigens, rendering the host's existing specific immune response unable to provide protection.
常見錯誤：錯誤地認為疫苗的效力（或記憶細胞/抗體）會在一年內自然消失。
Common trap：Incorrectly thinking that the effectiveness of the vaccine (or memory cells/antibodies) naturally disappears within a year.",
